t,ppS2_ppS3_ppS3_Obs,geneJ_Obs,Compound_1_Obs,Compound_2_Obs
0,0,0.829542917841547,2.90849851309253,77.2403561228721
25,60.7743089720643,NaN,NaN,NaN
40,NaN,0.529568797077073,88.0608268866626,NaN
45,NaN,NaN,NaN,85.5219744496535
55,48.1878306116812,NaN,NaN,NaN
80,NaN,NaN,67.9335640986711,NaN
85,73.9936622891032,0.317466791504843,NaN,NaN
95,NaN,NaN,NaN,89.5738005225366
100,47.7020557975013,NaN,NaN,NaN
150,29.875260406886,0.330691836171535,43.5220538877131,72.338076253382
200,23.1070327034365,0.495004387570683,28.2411085707833,76.8955921549921
250,16.7338658529985,0.393096667976226,22.9302946615043,75.9436616205758
300,10.1856477484942,0.501955840148983,NaN,90.6201841919202
350,5.43570581638662,0.604641513084537,12.3185849341987,NaN
400,NaN,0.860664037583177,13.1723833667364,66.5643951378101
450,1.9077422843715,NaN,NaN,64.7233040788525
500,NaN,0.856192255193108,9.6503367143788,NaN
550,NaN,NaN,9.20002831489022,80.1657172003455
600,NaN,0.986068187515905,NaN,NaN
650,NaN,NaN,NaN,67.2119716462562
700,NaN,1.16191821084829,4.93246017101515,NaN
750,NaN,NaN,NaN,61.795594166481
800,NaN,NaN,5.30286079878246,NaN
850,NaN,0.832452179706078,NaN,NaN
900,NaN,NaN,NaN,76.5914751972382
950,NaN,NaN,3.84497425554422,NaN
1000,NaN,NaN,NaN,75.841562755967
