t,ppS2_ppS3_ppS3_Obs,geneJ_Obs,Compound_1_Obs,Compound_2_Obs
0,0,0.983039141399702,3.27389951793138,244.064130330903
35,2.62622888117058,NaN,NaN,NaN
40,NaN,NaN,6.09970086043238,88.1152543364588
65,3.70287180095597,0.445836716465835,NaN,NaN
80,NaN,NaN,NaN,141.49009062448
85,NaN,NaN,6.18852855301569,NaN
100,2.14419447569179,NaN,NaN,NaN
150,1.72673550975766,0.410006814309335,6.26454089420588,152.011603061291
200,0.980642547752784,0.460263136644737,5.48039759605892,124.218209412682
250,0.53072397851615,NaN,4.53305092006097,186.79084955521
300,0.259360948394156,0.798337861123778,5.88733374257905,NaN
350,0.174134408888511,NaN,5.53465798874486,192.487162832368
400,0.065541411066666,0.961446157847719,NaN,218.480626947402
450,NaN,NaN,5.05926304823693,NaN
500,0.0123761339243695,0.866688934617377,4.47791676871427,216.109483436744
550,NaN,NaN,NaN,207.079417280507
600,0.000990448375080841,1.0763457381558,3.60113241946613,NaN
650,NaN,NaN,NaN,182.212092672425
750,NaN,0.911302589461915,5.13101763425572,NaN
800,NaN,NaN,NaN,314.475850417234
900,NaN,NaN,2.40824075954567,NaN
950,NaN,1.18855243611646,NaN,NaN
1000,NaN,0.960952643897851,NaN,NaN
1500,NaN,0.765566841984954,NaN,NaN
