t,ppS2_ppS3_ppS3_Obs,geneJ_Obs,Compound_1_Obs,Compound_2_Obs
0,0,0.963654987880855,1.83483945715446,243.306613931114
9.5,0,NaN,NaN,NaN
10,NaN,1.07404654427977,1.7600783401927,208.506642979449
20,0,NaN,NaN,NaN
25,NaN,0.883419383340492,1.67413258364425,227.700904754272
30,0,NaN,NaN,NaN
35,NaN,1.01897656138434,1.98261670424156,NaN
40,NaN,NaN,NaN,203.283065639576
45,0,NaN,NaN,NaN
50,NaN,1.01373983602052,1.50745313887745,NaN
55,NaN,NaN,NaN,209.361587808986
60,0,NaN,NaN,NaN
70,NaN,1.02150983827442,1.51112614367722,143.241671996701
75,0,NaN,NaN,NaN
90,NaN,0.855949331953886,1.53462192328139,NaN
95,NaN,NaN,NaN,244.488280291679
