t,ppS2_ppS3_ppS3_Obs,geneJ_Obs,Compound_1_Obs,Compound_2_Obs
0,0,1.07193403282401,1.9803327034612,61.1928487814491
10,0,0.911406863144569,2.0935329001816,78.2177194121415
20,0,NaN,NaN,NaN
25,NaN,1.01908123151611,2.58554123557013,69.819538369003
30,0,NaN,NaN,NaN
35,NaN,1.07088833250546,2.1483352018885,57.1313300850879
45,0,NaN,NaN,NaN
50,NaN,0.878686885831338,2.40572419297289,86.6835537460281
55,0,NaN,NaN,NaN
65,NaN,1.0077122970044,1.87916015748152,77.2194942199462
70,0,NaN,NaN,NaN
85,0,1.03127797986766,2.00584396232261,77.185672816719
