t,ppS2_ppS3_ppS3_Obs,geneJ_Obs,Compound_1_Obs,Compound_2_Obs
0,0,0.904466762992002,1.83313882819338,62.0988418298272
10,0,0.975094280466392,1.58167928743261,82.3103796641839
20,NaN,1.04803562912944,NaN,NaN
25,0,NaN,1.78278914248409,61.7103657565604
35,NaN,1.03511979366516,NaN,65.1034228218038
40,0,NaN,2.07270884875197,NaN
45,NaN,0.955410761897247,NaN,NaN
50,NaN,NaN,NaN,61.728416667956
55,0,NaN,1.94620921736138,NaN
60,NaN,0.977208986735205,NaN,NaN
70,0,NaN,NaN,80.3035822633005
75,NaN,NaN,2.18648179098666,NaN
80,NaN,0.818659938010176,NaN,NaN
85,NaN,NaN,NaN,83.3575468392762
95,0,NaN,2.11716784271623,NaN
