t,ppS2_ppS3_ppS3_Obs,geneJ_Obs,Compound_1_Obs,Compound_2_Obs
0,0,1.08895298157714,3.49437470339914,78.8208201091176
30,NaN,NaN,NaN,152.358988730342
40,4.26563299293448,NaN,NaN,NaN
45,NaN,0.823282311518338,NaN,NaN
55,NaN,NaN,6.19908722729116,NaN
65,NaN,NaN,NaN,170.427433150099
80,2.77254402770296,NaN,NaN,NaN
85,NaN,0.606482549841197,NaN,NaN
100,3.01003808772374,NaN,7.0099968432704,126.460627871132
150,1.61249034618905,0.456221934131703,NaN,104.988065176274
200,1.187868594503,0.573266820611398,7.01759959223967,78.788122964698
250,0.750277347165142,0.754098346472139,6.8235182543421,NaN
300,NaN,0.645727556118704,4.09872641196,67.2175476478947
350,0.224701888121957,0.667066096800415,NaN,53.6293916781598
400,0.114470703025222,NaN,3.70866337652616,69.4137045079211
450,NaN,0.899510965804068,NaN,NaN
500,0.0426603997213062,NaN,4.63924890316495,75.550359554452
550,NaN,0.853925440250993,NaN,NaN
600,0.0082374015763958,NaN,4.03773659203628,NaN
650,NaN,1.01722352856342,NaN,NaN
700,NaN,NaN,3.57038113823795,NaN
750,NaN,1.03288370075712,NaN,NaN
800,NaN,NaN,3.5668693398177,NaN
1000,NaN,NaN,4.32230957149194,NaN
