t,ppS2_ppS3_ppS3_Obs,geneJ_Obs,Compound_1_Obs,Compound_2_Obs
0,0,0.99859727660253,2.95830093806593,56.45062249987
30,2.64887066807285,NaN,NaN,NaN
45,NaN,0.687182919021606,NaN,117.866126082773
55,NaN,NaN,7.08858430642715,NaN
65,4.72178910543991,NaN,NaN,NaN
85,NaN,0.493797287832482,NaN,NaN
90,NaN,NaN,NaN,84.7565645182804
100,2.46762122189355,NaN,7.44701464141034,NaN
150,2.36524553813171,0.604436880382473,7.07428663306928,95.8820368009298
200,1.38792723098653,0.582511456460418,NaN,74.1594378628596
250,0.690120363373456,0.743024663694849,6.41160423265486,78.0329409651347
300,0.52050297449892,0.68562838637288,5.61817357279504,68.5561996818776
350,0.215394850525151,0.94321592741182,NaN,NaN
400,NaN,NaN,5.60363775823009,65.4519209435246
450,0.0713047851644939,0.895962534407818,5.06513113315886,NaN
500,0.0345547761926417,NaN,NaN,51.8151458171424
550,NaN,0.859764288586562,NaN,NaN
600,0.00639105469999741,NaN,4.73739027401252,79.7243622515416
700,NaN,1.15947659107499,4.80893216070591,NaN
750,NaN,NaN,NaN,64.4051679295399
850,NaN,NaN,3.13849884613853,NaN
1000,NaN,NaN,3.35898170494371,NaN
