t,pEGFR_Obs,pEGFR_Akt_Obs,pAkt_S6_Obs,pS6_Obs,EGF_EGFR_Obs
0,388.972212277009,2.59137078285001e-06,-1.86776326418423e-05,-3.59322918941309e-07,-2188.6823434018
250,NaN,NaN,NaN,NaN,194530.922232501
300,208981.026704935,6.9338124901712e-05,NaN,NaN,NaN
400,NaN,NaN,NaN,1.61791139652074e-06,NaN
500,NaN,NaN,NaN,NaN,140672.646117082
550,141080.427526824,4.52411543481605e-05,0.00116999687685529,NaN,NaN
750,NaN,NaN,NaN,NaN,88397.1345382527
850,77305.9900539784,2.54971804204214e-05,NaN,4.51009782536395e-06,NaN
1000,61670.2114578571,1.89633952207843e-05,0.00150935396509263,NaN,55548.0503444547
1500,26690.465868946,1.12822872559961e-05,0.00143253354755428,8.6848525012552e-06,25329.6261183687
2000,9628.92081670637,5.58592375923767e-06,NaN,9.83966596693571e-06,8911.43424640813
2500,2292.05599636332,1.71794910865242e-06,0.000989920172419751,NaN,NaN
3000,5334.90706959601,4.33871628863771e-07,0.000727892017727011,7.88139976315399e-06,4456.19453892846
3500,-357.356261955222,-1.0771391012619e-06,NaN,7.19018272634113e-06,10947.974075515
4000,NaN,NaN,0.000543324446934127,5.96161326150341e-06,-5123.35870211872
4500,-1234.91537411546,1.97293845346089e-06,NaN,NaN,NaN
5000,121.718565559737,NaN,0.000268285162352934,2.81443283708714e-06,NaN
5500,NaN,-2.91541081075835e-07,NaN,NaN,NaN
6000,NaN,NaN,0.000109008887329703,2.22446357302663e-06,NaN
7000,NaN,NaN,0.000127471066475034,NaN,NaN
7500,NaN,NaN,NaN,-5.96900879330885e-08,NaN
8500,NaN,NaN,-1.14830310308229e-05,4.30984017705698e-07,NaN
