t,pEGFR_Obs,pEGFR_Akt_Obs,pAkt_S6_Obs,pS6_Obs,EGF_EGFR_Obs
0,104622.663536315,7.35864294633044e-06,-0.000147696514630019,6.76268795630596e-07,25042.5710090171
75,NaN,NaN,NaN,NaN,1956952.025573
90,2256433.42486137,NaN,NaN,NaN,NaN
150,NaN,0.000317918600699112,NaN,NaN,1289888.58376775
200,1211613.51577633,NaN,NaN,NaN,NaN
250,NaN,NaN,NaN,NaN,675311.449261463
300,424347.052941521,0.000147909249922584,NaN,NaN,499666.550809819
400,318813.397724445,NaN,NaN,5.4405689063554e-06,255415.247021067
450,NaN,7.56446982418134e-05,NaN,NaN,NaN
500,152981.292631383,NaN,NaN,NaN,145275.242978132
550,NaN,NaN,0.00380725065045231,NaN,NaN
650,18657.7298194468,NaN,NaN,NaN,27778.261648197
700,NaN,1.7711691635988e-05,NaN,NaN,NaN
800,54282.2012339591,NaN,NaN,NaN,34009.7152127768
850,NaN,NaN,NaN,1.51535318498342e-05,NaN
950,NaN,-1.67212323781691e-06,NaN,NaN,8533.74375983873
1000,46165.9644302754,NaN,0.0033572561093728,NaN,93659.9520804585
1500,38660.317537851,NaN,0.00252321713522971,2.12600857323127e-05,48416.8082559106
2000,NaN,NaN,NaN,1.85466423721416e-05,NaN
2500,NaN,NaN,0.001458254043402,1.77873719849687e-05,NaN
3000,NaN,NaN,0.000987880484545186,1.30026528208223e-05,NaN
3500,NaN,NaN,NaN,1.01758321789604e-05,NaN
4000,NaN,NaN,0.000618718123913325,7.50692040577413e-06,NaN
5000,NaN,NaN,0.000520522748674799,3.99127890281757e-06,NaN
6000,NaN,NaN,0.00019487145382875,4.08798468412878e-06,NaN
7000,NaN,NaN,5.71903447995242e-05,NaN,NaN
7500,NaN,NaN,NaN,4.49371573029282e-06,NaN
8500,NaN,NaN,0.000128288144821855,1.1198684431142e-06,NaN
