t,pEGFR_Obs,pEGFR_Akt_Obs,pAkt_S6_Obs,pS6_Obs,EGF_EGFR_Obs
0,179420.91043428,1.58840969736041e-05,-3.42660789908723e-05,3.96560649607044e-07,-214387.113279885
30,NaN,NaN,NaN,NaN,4986149.24052551
45,4353686.19948513,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,4078438.01462539
65,NaN,0.000813248861221157,NaN,NaN,NaN
85,3970761.04466544,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,2426568.51466076
150,1775720.97249492,0.000271785984750012,NaN,NaN,1037992.33373773
200,807846.750405413,0.000129382721966736,NaN,NaN,460128.171725899
250,383509.320372059,8.35682049811627e-05,NaN,NaN,425520.345037471
300,110784.136599637,NaN,NaN,NaN,163300.174719772
350,175358.714151822,9.95166193041252e-06,NaN,NaN,217019.12584463
400,NaN,NaN,NaN,7.84519293603875e-06,NaN
450,65048.921626432,2.16442400851134e-05,NaN,NaN,48204.7784099734
500,35794.6358001337,NaN,0.00367230556498985,NaN,-113642.791155301
550,NaN,8.26670709641771e-06,NaN,NaN,NaN
600,27576.2399204016,NaN,NaN,NaN,90944.5869421642
650,NaN,-1.10268204497559e-05,NaN,NaN,NaN
700,62296.5641394229,NaN,NaN,NaN,NaN
800,NaN,1.11115140792254e-05,NaN,NaN,NaN
850,-92382.1517606157,NaN,NaN,1.60785347691932e-05,NaN
950,NaN,1.23697093629269e-05,0.00317581946505349,NaN,NaN
1500,NaN,NaN,0.00195665111865997,1.71101814736665e-05,NaN
2000,NaN,NaN,0.00174418282563465,1.83594262222649e-05,NaN
2500,NaN,NaN,0.00135724269084175,1.40378041506759e-05,NaN
3000,NaN,NaN,NaN,1.21099424397714e-05,NaN
3500,NaN,NaN,0.000607064454789388,1.01451411592432e-05,NaN
4000,NaN,NaN,0.000500819282796406,NaN,NaN
4500,NaN,NaN,NaN,4.53862846625368e-06,NaN
5000,NaN,NaN,0.000285450520099437,4.19132336515031e-06,NaN
6000,NaN,NaN,0.000104892754847963,2.02465713493369e-06,NaN
7500,NaN,NaN,-2.65819658974603e-05,1.61391303586815e-06,NaN
8500,NaN,NaN,3.01781008232123e-06,7.26880860947126e-07,NaN
