t,pEGFR_Obs,pEGFR_Akt_Obs,pAkt_S6_Obs,pS6_Obs,EGF_EGFR_Obs
0,71250.8876679457,-1.21389772855798e-05,-5.04665776556982e-05,-2.83379353324195e-07,44047.047007805
30,NaN,NaN,NaN,NaN,8292842.37704417
35,9397073.01382756,NaN,NaN,NaN,NaN
55,NaN,0.000684047325970589,NaN,NaN,2427421.57294044
70,3936682.14795263,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,584507.727792902
100,1423508.11951888,0.000211221282040908,NaN,NaN,591294.019168554
150,306318.416653205,4.35110004261412e-05,NaN,NaN,3942.39099057165
200,-181657.801709816,NaN,NaN,NaN,-75289.7097430829
250,44955.20890999,1.97185016883095e-05,NaN,NaN,67511.8933688125
300,139073.448815866,-1.57348889858146e-05,NaN,NaN,17713.1023356829
350,151714.13247824,NaN,NaN,NaN,-189885.562241723
400,-172470.256362829,1.13987697013275e-05,NaN,NaN,-4648.61718617241
450,NaN,NaN,0.00326964187992036,8.60709760958072e-06,NaN
500,201463.261850784,1.81206474818311e-06,NaN,NaN,-53564.3935460046
600,112403.070981686,4.22837052575027e-07,NaN,NaN,NaN
700,NaN,-1.16483064857545e-05,NaN,NaN,NaN
900,NaN,NaN,NaN,1.36502518068298e-05,NaN
950,NaN,NaN,0.00242827147276846,NaN,NaN
1500,NaN,NaN,0.00173622824489713,1.71506768312834e-05,NaN
2000,NaN,NaN,0.00114757438081984,1.49676367416461e-05,NaN
2500,NaN,NaN,0.000941205180433446,1.12350936218217e-05,NaN
3000,NaN,NaN,NaN,9.07547641222255e-06,NaN
3500,NaN,NaN,0.000564383079902945,NaN,NaN
4000,NaN,NaN,0.00017891191812978,5.78515761562499e-06,NaN
5000,NaN,NaN,0.000406755254586124,3.4772702979968e-06,NaN
6000,NaN,NaN,0.000271076380217138,3.33499525247685e-06,NaN
7000,NaN,NaN,NaN,9.15752832357167e-07,NaN
7500,NaN,NaN,0.000193785622403838,NaN,NaN
8500,NaN,NaN,0.000171222563293247,1.46127602464936e-06,NaN
