t,pEGFR_Obs,pEGFR_Akt_Obs,pAkt_S6_Obs,pS6_Obs,EGF_EGFR_Obs
0,184939.29700996,-9.50465107783914e-06,0.000147432491917383,4.0913291203876e-09,-33499.1007586253
30,NaN,NaN,NaN,NaN,8987040.10872326
40,7686395.07339996,NaN,NaN,NaN,NaN
50,NaN,0.001032094640564,NaN,NaN,NaN
65,NaN,NaN,NaN,NaN,3325800.15379269
80,4122269.37814397,NaN,NaN,NaN,NaN
95,NaN,0.000337607595227055,NaN,NaN,891336.266530584
100,2661292.52772002,NaN,NaN,NaN,NaN
150,235401.92121473,7.51997225159497e-05,NaN,NaN,39817.1076162839
200,189316.92842356,3.03984527750604e-05,NaN,NaN,19991.4851335779
250,9181.12922505486,2.45220184293474e-07,NaN,NaN,18635.0083351538
300,NaN,NaN,NaN,NaN,62126.8337323234
350,-134290.164459055,-7.76240900480236e-06,NaN,NaN,125813.509654704
400,99025.9242844589,-4.03220456698979e-06,NaN,NaN,NaN
450,NaN,NaN,0.00323432602618251,1.00803404200776e-05,35568.1215569459
500,-175280.108425632,-7.29149924006364e-06,NaN,NaN,-35188.7461076289
600,113035.31636501,6.73415557786725e-06,NaN,NaN,49478.4796816214
700,229768.487300464,5.94901134094538e-06,NaN,NaN,NaN
950,NaN,NaN,0.00242072941342284,1.57516434111342e-05,NaN
1500,NaN,NaN,0.00181575335322917,1.53891696905063e-05,NaN
2000,NaN,NaN,0.00135132780088377,1.4753464629356e-05,NaN
2500,NaN,NaN,0.00120085418106393,1.18942546400926e-05,NaN
3000,NaN,NaN,0.000984072358858189,9.21516828426925e-06,NaN
4000,NaN,NaN,0.000422070336258128,6.47404481070183e-06,NaN
5000,NaN,NaN,0.000283834149766834,2.48666694237783e-06,NaN
6000,NaN,NaN,5.72752098971366e-05,2.54707131183742e-06,NaN
7000,NaN,NaN,0.000100247169780984,2.29904100213634e-06,NaN
8500,NaN,NaN,-0.000115359343453809,3.42272337189285e-07,NaN
