t,pAkt_Obs,pS6_Obs,EGF_EGFR_Obs
0,5.71077259878297e-06,-5.30588170963298e-08,-31253.9506972976
150,NaN,NaN,1412832.44487379
250,NaN,NaN,1037074.29398865
350,0.00105690940535457,NaN,NaN
400,NaN,NaN,615384.315315295
450,NaN,4.95194479625779e-07,NaN
550,NaN,NaN,297793.803612818
700,0.000302251817561496,NaN,191729.256439441
850,NaN,NaN,104535.351195566
900,NaN,1.29656642046228e-06,NaN
1000,0.000121880209576672,NaN,62310.8753765467
1500,4.24160823276599e-05,2.25833309378449e-06,11456.8206464087
2000,1.8274328442472e-05,2.52045151092334e-06,-20402.7860438911
2500,9.81869400412259e-06,2.49449909182518e-06,-4913.76089194524
3000,5.95430243505602e-06,2.49257275474929e-06,NaN
4000,3.09747913453106e-07,2.1673087790433e-06,NaN
4500,1.77285598481291e-05,1.97291933928957e-06,NaN
6000,NaN,1.4019083490879e-06,NaN
7000,NaN,1.17777657797651e-06,NaN
8500,NaN,5.38501838016866e-07,NaN
