t,pAkt_Obs,pS6_Obs,EGF_EGFR_Obs
0,-1.34001455944542e-05,3.9873607980867e-08,44073.2746121349
60,NaN,NaN,3597561.9079303
150,NaN,NaN,2885129.12202343
200,NaN,NaN,2128455.78652976
250,0.00233209996378834,NaN,1561401.23634506
350,NaN,NaN,824716.249043273
400,NaN,6.80374662685851e-07,500031.099915791
500,NaN,NaN,322797.11703226
550,0.000402409086891853,NaN,NaN
650,NaN,NaN,146588.047746147
750,NaN,NaN,51731.2260725423
800,NaN,1.94878455879175e-06,NaN
850,7.62231119799898e-05,NaN,NaN
900,NaN,NaN,31994.3303605235
1000,3.73509736379686e-05,NaN,-20632.1030630252
1500,7.60623716838066e-06,3.29237083353905e-06,27271.1722812376
2000,9.89408481029599e-07,3.73000518164467e-06,NaN
2500,3.85277569787961e-05,NaN,NaN
3000,NaN,3.48795928133162e-06,NaN
3500,NaN,3.422653580877e-06,NaN
4000,NaN,3.07892285545319e-06,NaN
5000,NaN,2.54509950262941e-06,NaN
6000,NaN,1.82221390152646e-06,NaN
7500,NaN,1.32634120766721e-06,NaN
8500,NaN,7.18711296640196e-07,NaN
