t,pAkt_Obs,pS6_Obs,EGF_EGFR_Obs
0,-9.06475121505722e-06,3.53617534025005e-07,14274.241337992
45,NaN,NaN,7794278.68255457
90,NaN,NaN,6271125.75212485
150,NaN,NaN,3097172.09541424
200,NaN,NaN,1589957.51929464
250,0.00230823732297157,NaN,774485.683311781
300,NaN,NaN,307878.567157522
350,NaN,NaN,254883.852594546
450,0.000297032293928361,1.19341154211802e-06,150781.634774629
550,NaN,NaN,-15321.8359085907
650,NaN,NaN,-18762.8227803334
750,3.21109021927253e-06,NaN,-69358.4005771923
900,NaN,2.53303842224804e-06,-40510.9067310393
1000,1.1083592464811e-05,NaN,NaN
1500,5.76937264746615e-05,3.62882907684804e-06,NaN
2000,-4.58930672244302e-07,4.05103103765605e-06,NaN
2500,4.43590301996895e-06,4.13701908036789e-06,NaN
3000,NaN,3.78544124202226e-06,NaN
4000,NaN,3.51770219667394e-06,NaN
4500,NaN,3.05594167957414e-06,NaN
6000,NaN,1.86318179001879e-06,NaN
7000,NaN,1.60960980001675e-06,NaN
8500,NaN,9.86442386625638e-07,NaN
