t,pAkt_Obs,pS6_Obs,EGF_EGFR_Obs
0,2.32489805464257e-07,-1.08016399324282e-07,-16892.9399920798
150,NaN,NaN,473392.767333484
300,NaN,NaN,356771.782403104
450,0.000356579483561127,NaN,232406.135072655
500,NaN,1.63155000317454e-07,NaN
650,NaN,NaN,144221.766894549
850,NaN,NaN,83102.2252631984
900,0.000121836400735727,NaN,NaN
1000,NaN,6.3441808307912e-07,51696.9390942052
1500,3.12469989471248e-05,9.6697287959636e-07,29235.9443336533
2000,1.13145043476824e-05,1.11040523668952e-06,11544.7472841943
2500,1.39316857457975e-05,NaN,716.601199905413
3000,3.81072773936711e-06,1.21259124178928e-06,5872.38786547079
3500,NaN,1.11539205933266e-06,NaN
4000,2.43484391130387e-07,NaN,NaN
4500,NaN,9.58239376567437e-07,NaN
5000,6.41919242480803e-06,NaN,NaN
5500,NaN,8.06966894781644e-07,NaN
6000,2.11755219634038e-06,NaN,NaN
7000,NaN,4.95601026225544e-07,NaN
8500,NaN,3.72785143988764e-07,NaN
