t,pAkt_Obs,pS6_Obs,EGF_EGFR_Obs
0,2.55551429453499e-06,-4.2863201203537e-08,102585.118111219
35,NaN,NaN,12102990.3073069
65,NaN,NaN,8598961.36347894
100,NaN,NaN,4762582.35726917
150,NaN,NaN,2073754.41190432
200,NaN,NaN,885925.226893473
300,0.00100465482033466,NaN,15543.9978344174
350,NaN,NaN,130947.216558526
400,NaN,1.22371777651629e-06,133748.956584002
500,NaN,NaN,4127.82106039579
550,5.15798613920664e-05,NaN,NaN
600,NaN,NaN,-136755.793021819
850,NaN,2.66194965477261e-06,NaN
900,2.75535968778693e-05,NaN,NaN
1000,1.62525523536629e-05,NaN,NaN
1500,2.85457739756864e-05,3.75415667652712e-06,NaN
2000,2.46545921116659e-05,3.79187769280354e-06,NaN
2500,2.07996186326194e-05,NaN,NaN
3000,NaN,3.81521871313186e-06,NaN
3500,5.00087303064878e-06,3.47910304122914e-06,NaN
4000,NaN,2.98396183952332e-06,NaN
5000,NaN,2.42941304577027e-06,NaN
6000,NaN,2.07675091592909e-06,NaN
7500,NaN,1.41222730383746e-06,NaN
8500,NaN,1.11668041438337e-06,NaN
