t,pAkt_Obs,pS6_Obs,EGF_EGFR_Obs
0,-9.05884052756896e-07,1.41368602162713e-08,1698.73979733809
200,NaN,NaN,156866.758478796
350,NaN,4.60489363906836e-08,NaN
400,NaN,NaN,108211.580037105
500,0.000124525128603044,NaN,NaN
650,NaN,NaN,57700.6030726217
750,NaN,1.19489378215598e-07,NaN
900,NaN,NaN,37096.3372854318
1000,4.17116986606659e-05,2.13664521622494e-07,27034.6173111635
1500,1.43476001738528e-05,3.64472238345398e-07,8837.83795006081
2000,7.40354060599539e-06,4.29294056374322e-07,7369.69012864482
2500,NaN,4.66718469626732e-07,NaN
3000,1.80488521951757e-06,4.97743364652105e-07,NaN
3500,1.02027957554371e-06,4.93868532512152e-07,NaN
4500,1.74747393921202e-06,3.82049849792717e-07,NaN
5000,NaN,3.36437200117225e-07,NaN
6000,2.64239456874985e-06,2.78215325373676e-07,NaN
7500,NaN,1.7938403886488e-07,NaN
8500,NaN,1.43398822404335e-07,NaN
