t,STAT5B_Obs,pBpB_Obs,nucpBpB_Obs
0,72.5905457885647,0,0.0865521338571403
15,NaN,NaN,41.2005228947319
20,7.0477490646098,1.16445690698329e-06,NaN
35,NaN,NaN,44.8137146650055
40,NaN,6.73806531218511e-07,NaN
45,5.60751180210567,NaN,NaN
50,NaN,NaN,36.8930834205353
60,NaN,4.43908510066471e-07,NaN
70,6.29169709902772,NaN,29.4908345234279
85,NaN,3.56911549985774e-07,NaN
90,NaN,NaN,31.3291136404537
95,6.68812132641292,NaN,NaN
100,6.62665992106453,3.00327329707348e-07,29.5523886952783
150,8.82841117606451,1.67687889219501e-07,30.2704450597046
200,9.04580357449133,1.34122874618152e-07,20.9887206572807
250,12.0776330498403,NaN,16.0288113436066
300,13.6432276528546,NaN,12.4799803094388
400,12.8472242737942,NaN,6.1509619641307
450,21.345911339765,NaN,NaN
550,20.7639301122952,NaN,NaN
