t,pMEK_Obs,pERK_Obs
0,0.000194647223994785,0.0191465642634887
0.3,0.00131973482174404,NaN
0.5,NaN,0.0867840193141265
0.6,0.00104958814579674,NaN
0.9,0.000881701435591712,NaN
0.95,NaN,0.0680306349143446
1,0.000791606710951277,NaN
1.5,0.0006857722711045,0.0565937787493905
2,0.000341578119787367,0.0464619232469432
2.5,0.000394272367796052,0.032219162693513
3,0.000214891830565816,NaN
3.5,0.000226619979134791,0.019178252549311
4,NaN,0.0199576317765257
4.5,0.000130958530064239,NaN
5,0.000365907048741428,0.02324747693982
6.5,NaN,0.0113023105994823
8,NaN,0.00771270509549398
