t,pMEK_Obs,pERK_Obs
0,0.000186350588155972,0.0207392022963703
0.25,NaN,0.0204982555889168
0.3,0.000240075631499678,NaN
0.55,NaN,0.0197173956152474
0.6,0.000213857587703716,NaN
0.85,NaN,0.0174889953006701
0.9,0.000171569194279575,NaN
1,0.000180125997184963,0.0164903549182617
1.5,0.00010231819321535,0.0129935709529023
2,0.000124080772318501,0.00730463955746547
2.5,9.23698163498369e-05,0.00885703928155315
3,9.26979815721468e-05,0.0111462515135063
3.5,NaN,0.00821224603248702
4,9.43566806708258e-05,NaN
4.5,9.15895013932938e-05,0.0109472798130469
5,NaN,0.00740248147491382
