t,pAC_Obs,AC_Fsk_Obs
0,0.120932152242635,0.061978062081974
1.5,NaN,0.0282007288188233
3,NaN,-0.0710579488536549
5,NaN,0.0498552677755034
6.5,NaN,-0.0395177073749055
7,-0.00357218162369629,NaN
8.5,NaN,-0.062505547961375
10,NaN,-0.0202106210713664
15,-0.0463156559019259,0.138637912888289
20,0.1184264291526,-0.0176679498000011
25,NaN,0.0699313875584098
30,-0.0153307810396728,0.0529922548397487
35,NaN,0.0458229697426279
40,0.0388235622738127,0.0969469969085104
50,-0.00148961005545602,-0.0682372101985313
60,NaN,-0.0540274193730048
65,NaN,0.042242738316214
