t,STAT5B_Obs,nucpApB_Obs,nucpBpB_Obs
0,61.7793569952875,5.23882237984297,-1.89233638401389
15,9.78312680419864,NaN,39.536089247072
20,NaN,15.8003657584076,NaN
30,9.20301707651229,NaN,NaN
35,NaN,NaN,42.720613093451
40,NaN,34.6196703789611,NaN
45,10.1520413418394,NaN,NaN
55,NaN,NaN,38.7253098375453
60,NaN,57.6417002366055,NaN
65,9.17514696701767,NaN,NaN
70,NaN,NaN,40.2966058632635
85,9.63952223077683,64.6518405209404,NaN
90,NaN,NaN,28.9388935973836
100,8.93782875073579,71.9145223215374,34.3634581394032
150,15.2955517049549,79.5772771615903,22.8198920584802
200,19.0337867969236,93.2728906928996,18.7678787835256
250,23.0139312678817,91.4549742490506,12.1901289974462
300,23.2147382619421,87.6617652083317,7.08212562074018
350,24.6195836052858,99.3493559814008,10.6412696220108
400,NaN,99.2909310150725,7.63205574659204
500,NaN,96.5032384783804,NaN
