t,TGFb_pRec_Obs,pS3_Obs,ppS2_Obs,geneD_Obs,geneG_Obs
0,-0.0353101687147558,0.00627531120527886,1.59186735554793,0.849750157743914,1.44434936696787
25,NaN,NaN,NaN,NaN,7.0857967559988
30,0.375966119224716,NaN,14.6110625906939,NaN,NaN
35,NaN,1.68943072913867,NaN,NaN,NaN
55,NaN,NaN,NaN,NaN,8.21183936926503
60,0.372346597265859,NaN,16.0886322540452,0.988093363043637,NaN
75,NaN,1.48010588322997,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,7.41748655752134
95,0.296818104826669,NaN,10.7875410751027,NaN,NaN
100,NaN,1.37113545299237,NaN,1.95145366710823,7.69086072490015
150,0.178358911312492,0.97663034208079,5.00520868731248,NaN,5.94934761770158
200,0.0841879876105163,0.592411349293522,2.62442196021094,2.65131660445823,4.0858120926938
250,0.000738433217316158,0.270834381527757,-0.205418797843545,2.44571263046959,3.5990237530174
300,NaN,0.196057446761769,1.01377191353203,2.96776123071728,NaN
400,NaN,0.065283770320771,NaN,2.74174739767739,NaN
450,NaN,-0.0306279118411927,NaN,NaN,NaN
500,NaN,NaN,NaN,2.52240558860301,NaN
550,NaN,0.0745330657726025,NaN,NaN,NaN
600,NaN,NaN,NaN,2.1595048868725,NaN
650,NaN,-0.0612504250739754,NaN,NaN,NaN
700,NaN,NaN,NaN,2.20899021814823,NaN
850,NaN,NaN,NaN,2.6022163752863,NaN
1000,NaN,NaN,NaN,2.03221316070255,NaN
1500,NaN,NaN,NaN,1.71816628212182,NaN
