t,TGFb_pRec_Obs,pS3_Obs,ppS2_Obs,ppS3_S4_S4_Obs,geneD_Obs
0,0.0955253190343189,-0.0361266548136056,-0.0247359499981637,0.0882838806802152,1.311503460609
10,0.093316454556228,-0.146896578566389,0.0390901631770845,-0.179580433544326,NaN
15,NaN,NaN,NaN,NaN,1.04690167576939
25,0.0183679283482107,-0.0740059226844737,0.111696889963532,0.0164886989996575,1.11219676594147
35,NaN,NaN,NaN,-0.0627478888258515,NaN
40,0.01257420912737,-0.139679072841944,0.0171338243321005,NaN,0.856816986922818
50,NaN,NaN,NaN,0.0191244726327598,NaN
55,-0.186682371290606,0.0208408395101029,-0.0846981972755487,NaN,NaN
60,NaN,NaN,NaN,NaN,0.810513726485721
70,NaN,NaN,NaN,-0.133621377508983,NaN
75,-0.125614053659183,-0.0127918561936025,0.0204332700277825,NaN,0.836294530096007
90,NaN,NaN,NaN,0.0302728409595255,NaN
95,0.0539722084301198,0.0633123256394004,0.0632258959327345,NaN,NaN
100,NaN,NaN,NaN,NaN,1.24542763918964
