t,TGFb_Obs,TGFb_pRec_Obs,pS3_Obs,ppS2_Obs,geneD_Obs
0,0.98869845794918,-0.0377620195781707,-2.64051686166139,-0.216066558734682,0.46764621822143
15,0.613217982739275,NaN,NaN,NaN,NaN
25,NaN,NaN,21.4256982148463,NaN,NaN
30,0.548402318163716,NaN,NaN,NaN,NaN
35,NaN,0.407763078262842,NaN,7.6686131663172,NaN
50,0.299832216146993,NaN,NaN,NaN,NaN
55,NaN,NaN,25.0000776105833,NaN,NaN
65,0.221781672495276,NaN,NaN,NaN,1.54774009439691
70,NaN,0.34296122488902,NaN,NaN,NaN
75,NaN,NaN,NaN,6.65562376395284,NaN
80,NaN,NaN,25.5018592903645,NaN,NaN
85,0.0998000933604693,NaN,NaN,NaN,NaN
100,0.141824579486104,0.263553917256983,17.783725516339,6.12274106255704,NaN
150,0.162051355299447,0.110058675552806,16.9908874639503,4.19542771017114,2.37275467368469
200,0.0761674698258248,0.064582181377423,9.78013222872959,2.41166079607059,2.0626461149536
250,0.025713165272629,NaN,5.35856920523564,1.85800223482254,NaN
300,NaN,0.00627640296700466,NaN,0.989281384464235,2.76290848934332
350,NaN,NaN,0.091060915711842,0.433111670993648,3.2152273140449
400,NaN,NaN,-0.00518830459482378,0.824959801146504,NaN
450,NaN,NaN,0.772548969328463,NaN,3.05552275306829
500,NaN,NaN,NaN,-0.138613390947649,NaN
550,NaN,NaN,NaN,NaN,2.62403821275921
600,NaN,NaN,NaN,0.146171842546928,NaN
700,NaN,NaN,NaN,-0.241098988806027,2.22852912851642
850,NaN,NaN,NaN,NaN,2.59752501087605
1000,NaN,NaN,NaN,NaN,1.88868203061298
1500,NaN,NaN,NaN,NaN,2.0208478431972
