t,TGFb_pRec_Obs,pS3_Obs,ppS2_Obs,ppS3_S4_S4_Obs,geneD_Obs
0,0.045380776376235,-0.024684487493528,0.103697241895839,0.0617127388362309,1.13698778768017
10,-0.018759349904765,-0.158248455060731,NaN,0.00564294003143494,NaN
15,NaN,NaN,-0.00176704160676422,NaN,0.950663243418389
20,NaN,NaN,NaN,-0.120224635788626,NaN
25,0.142531388202463,0.071626954852483,-0.0457365892776216,NaN,1.06593919552115
35,NaN,-0.0962914806125278,NaN,0.0386093308071961,NaN
40,-0.140441616316715,NaN,0.0313958899772652,NaN,1.21345388947642
50,NaN,0.034797922899203,NaN,0.0923837453975637,NaN
55,0.0254733668433447,NaN,-0.144127798260243,NaN,1.17362689801438
65,NaN,0.0862948022009807,NaN,0.126875120622389,NaN
70,0.0908787933132,NaN,NaN,NaN,NaN
75,NaN,NaN,-0.162834462656673,NaN,1.13519371859622
85,NaN,0.0973987911021931,NaN,0.0799047798146056,NaN
90,-0.149711602353025,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,1.04076718957235
100,NaN,NaN,-0.0113734510910371,NaN,NaN
