t,TGFb_pRec_Obs,pS3_Obs,ppS2_Obs,ppS3_S4_S4_Obs,geneD_Obs
0,0.00383450645415875,0.00493639481849041,0.120978834680233,0.0446934038416171,1.14139206948496
10,0.110394242784623,-0.254029387692818,-0.330156104578688,0.036676128929726,1.16362546451277
20,NaN,NaN,-0.171206658818058,-0.0235796856735058,NaN
25,0.00131781687937913,-0.181430918700643,NaN,NaN,1.11317763215834
30,NaN,NaN,NaN,-0.104279331967991,NaN
35,-0.157453595904514,NaN,-0.172999495577758,NaN,NaN
40,NaN,-0.104613553056995,NaN,NaN,1.00217666007392
45,NaN,NaN,NaN,-0.274794106414952,NaN
50,0.213416389621157,NaN,0.211897733550013,NaN,NaN
55,NaN,-0.0171684991073274,NaN,0.0214821145502428,1.03402181164311
65,NaN,NaN,-0.288059683542862,NaN,NaN
70,0.0554507266141416,NaN,NaN,0.0994459007511518,NaN
75,NaN,0.17361451637526,NaN,NaN,0.947096777148755
80,NaN,NaN,0.0249539989381806,NaN,NaN
90,-0.0604282669611316,NaN,NaN,0.146992777779909,NaN
95,NaN,0.13616824810788,NaN,NaN,1.03972950982742
