t,TGFb_pRec_Obs,pS3_Obs,ppS2_Obs,ppS3_S4_S4_Obs,geneD_Obs
0,0.0677577456677938,0.109172543234067,-0.0742578985018577,0.0391254422668923,1.01481100829276
10,0.18036717585654,NaN,0.0100678461252567,0.161844337095398,0.989166216892188
15,NaN,0.00634253163404101,NaN,NaN,NaN
20,-0.0522491701178708,NaN,NaN,NaN,NaN
25,NaN,NaN,0.40281149962165,-0.0865936164574088,1.05608075837032
35,0.255576434079123,-0.0425784786774391,-0.0607256471661194,0.0572638345841174,NaN
40,NaN,NaN,NaN,NaN,1.09668048363871
45,-0.0423172930402979,NaN,NaN,NaN,NaN
50,NaN,NaN,0.065713179460408,-0.254370898700691,NaN
55,NaN,0.143062245662247,NaN,NaN,0.919838682958693
60,0.0947968955173931,NaN,NaN,NaN,NaN
65,NaN,NaN,NaN,0.0777367044638316,NaN
70,NaN,NaN,-0.106636702286205,NaN,0.792800025160382
75,-0.139688090756709,-0.113832365796338,NaN,NaN,NaN
85,NaN,NaN,NaN,0.26308161044852,NaN
90,0.0478808131070496,NaN,0.131585552633209,NaN,1.0767833308609
100,NaN,0.162444715107914,NaN,NaN,NaN
