t,TGFb_pRec_Obs,pS3_Obs,ppS2_Obs,ppS2_S4_S4_Obs,geneD_Obs
0,-0.0212879754620163,-0.137407460476057,-4.45469414161815,1.01448147032364,1.22830731197231
30,NaN,NaN,45.2503654949023,12.6059680451494,NaN
35,0.399331041995139,1.53819533170559,NaN,NaN,NaN
60,NaN,NaN,NaN,14.329475221921,NaN
65,NaN,1.48748572694708,41.6862762924093,NaN,1.61828634208434
75,0.318081476984507,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,15.0143813922156,NaN
100,0.235573978936509,1.29971296816533,39.8473377976615,NaN,NaN
150,0.116182017454,0.93994277214266,23.1080725913195,13.9276812642973,3.16281388906347
200,0.0746684353671601,0.551161587630931,10.1781803486727,NaN,2.71466276946466
250,NaN,0.226400628839899,1.53228687848591,5.97452935931703,3.05227905252272
300,0.0113796497841886,0.211894057024533,-0.428285120801548,2.17535677875575,NaN
350,NaN,0.0109595458966442,NaN,NaN,3.64972518216816
450,NaN,-0.0245721717994175,NaN,NaN,3.19177707928095
550,NaN,0.0322313575435089,NaN,NaN,2.14888214125189
700,NaN,NaN,NaN,NaN,1.97577975441557
850,NaN,NaN,NaN,NaN,2.67807153672649
1000,NaN,NaN,NaN,NaN,2.32709526612152
1500,NaN,NaN,NaN,NaN,1.87693875794155
