t,TGFb_Obs,TGFb_pRec_Obs,pS3_Obs,ppS2_Obs,geneD_Obs
0,0.962588773127838,0.0136275695738635,-0.0192845009542211,6.51297789848724,0.687388347847377
15,0.607060182090324,NaN,NaN,NaN,NaN
30,0.431937263593261,NaN,1.49712210612151,100.169840346618,NaN
35,NaN,0.388792763198271,NaN,NaN,NaN
45,0.329577169163967,NaN,NaN,NaN,NaN
60,0.254805087988813,NaN,NaN,NaN,1.77716079322746
65,NaN,NaN,1.49851281741077,101.976581493033,NaN
70,NaN,0.330377830715604,NaN,NaN,NaN
80,0.133772504947498,NaN,NaN,NaN,NaN
100,0.157228526836266,0.255101074906549,1.48231660446547,81.0836492769634,2.77170303271384
150,0.0347685858823807,0.0843008025344536,0.825251979164512,46.2703042369658,NaN
200,0.00754290371788529,0.0522752037546895,0.469053175431293,32.6577793293163,3.12309808868423
250,0.0111571032709232,0.0259720198506032,0.545768030603784,8.61214374806915,2.95543179253194
300,NaN,NaN,0.135920549716588,3.02520640893578,2.86499489613453
350,NaN,NaN,0.105045226285318,NaN,NaN
400,NaN,NaN,-0.110622234108951,NaN,3.07883359160871
500,NaN,NaN,-0.0370829978555222,NaN,2.90331403497914
600,NaN,NaN,NaN,NaN,2.79182629876554
700,NaN,NaN,NaN,NaN,2.55754385490619
850,NaN,NaN,NaN,NaN,1.85949110368683
1000,NaN,NaN,NaN,NaN,2.27165150143525
1500,NaN,NaN,NaN,NaN,1.84374741440168
