t,Compound_1_Obs,Compound_3_Obs
0,11.3044136732696,687.797423721548
5,NaN,558.93449718453
5.5,3.68716043753824,NaN
10,2.96041923777216,1052.25865235525
15,1.97434859030435,599.531748485252
20,NaN,1085.43891967542
25,1.09219331870965,NaN
30,0.899628031000583,1042.62177482014
35,NaN,1836.47688302416
40,0.790971019139618,NaN
45,1.11576079758384,601.167346040349
55,0.595488407539813,985.705334426838
65,NaN,458.246421053579
70,1.36218540931052,NaN
75,NaN,1411.53472824027
80,0.87031189789221,NaN
90,NaN,1434.00193069822
95,1.61660479193893,NaN
100,1.29860050297565,NaN
