t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,19181.2870532692,417.916036953413,1776.91956390917
3,4017.55084726247,NaN,NaN
3.5,NaN,215.750094641719,NaN
5.5,NaN,NaN,3090.28828708554
6,2231.397409709,NaN,NaN
7.5,NaN,91.9337382299681,NaN
9.5,4973.52153495332,NaN,NaN
10,NaN,107.966996918977,6449.96861065549
15,5231.87362526449,72.6950052872727,6018.29846911149
20,2152.83962326419,67.412632794613,NaN
25,2610.30831517973,73.7977418816817,10548.0675224709
30,2081.12316180621,NaN,4571.59342081684
35,NaN,91.8509496241244,NaN
40,1856.13381122099,65.157878774433,12572.6750124549
45,2375.65399206034,NaN,9171.11956029002
50,NaN,58.0757447896479,NaN
55,2150.36073835545,NaN,6087.62316496021
60,NaN,130.353052812764,NaN
65,NaN,NaN,9802.52591731595
80,NaN,NaN,9914.35751235397
90,NaN,NaN,7583.59242765359
100,NaN,NaN,6825.66983398055
150,NaN,NaN,5503.72428038659
