timepoint,Glu_Obs,Ind_Obs
0,10.0945127511345,-1.4322220630459e-05
40,0.316925891166806,NaN
80,0.146470015284967,NaN
100,-0.0769588128081274,NaN
150,-0.0391696487356561,NaN
250,0.0758732494484065,NaN
300,-0.116070507876052,NaN
350,0.0226816011383132,NaN
450,-0.0631267721702603,0.00772177888663847
900,NaN,0.0058214099372356
1500,NaN,0.00520814216858497
2000,NaN,0.00454598868317987
2500,NaN,0.00496227784615624
3000,NaN,0.00402206117183465
4000,NaN,0.00263253147780009
4500,NaN,0.00279096662456839
5500,NaN,0.00357318896545228
7000,NaN,0.00252788604927214
8000,NaN,0.000756675410856403
