timepoint,Glu_Obs,Ind_Obs
0,9.51132678912185,0.0179878098759366
350,NaN,-0.0561548448347387
450,10.1541807244111,NaN
700,NaN,-0.0420985446729405
900,9.74403225230734,NaN
1000,NaN,-0.0026166294816697
1500,9.06293710284793,0.423817680691772
2000,7.5170243614856,0.780888021865543
2500,6.61262995597351,1.11528040494177
3000,4.5484842287192,1.16294596345534
3500,NaN,0.947863373079408
4000,2.87580811689834,0.834243707490198
4500,2.05824942661045,NaN
5000,NaN,0.49971856297587
6000,1.5756344074327,0.369416467610265
7000,0.488200757074559,0.321840758772259
8500,-0.355751727186092,NaN
