timepoint,Glu_Obs,Ind_Obs
0,8.54328586129805,0.0127368974913931
100,9.19004922949435,NaN
200,8.72960482078984,NaN
300,10.0392761379285,NaN
450,9.43404193643003,-0.0190943586525836
600,9.7708301727275,NaN
700,5.03044952605607,NaN
900,4.98778834366509,0.0427020908129345
1000,5.04548804405472,NaN
1500,-0.202256666818133,0.586296889056329
2000,1.05163372047716,0.576932869963729
2500,NaN,0.57793547930583
3000,NaN,0.45567003745956
4000,NaN,0.328688278315093
4500,NaN,0.285803252184266
5500,NaN,0.213353898468117
7000,NaN,0.0900433461107624
8000,NaN,0.124792188011311
