timepoint,Glu_Obs,Ind_Obs
0,9.28324874733937,-0.131822737439705
450,11.3765546309733,NaN
500,NaN,-0.0614432356530652
850,9.31282820777349,NaN
950,NaN,0.0319171363177511
1500,9.49711192057708,0.143764301987926
2000,7.33349820634878,0.794271359510534
2500,5.96091571414598,0.90729418745491
3000,3.91023823034414,NaN
3500,NaN,0.794785421824598
4000,2.37500247904582,0.798101851717199
4500,2.67869740565017,NaN
5000,NaN,0.50404331709254
6000,1.39069001603721,0.338077724532794
7000,-0.678133729012438,0.209439399096667
8500,-0.47099136800157,0.0145793251339459
