timepoint,Glu_Obs,Ind_Obs
0,10.5630729164481,-0.11959262960628
400,11.128541788173,NaN
450,NaN,-0.119077581684081
850,9.75272626864444,NaN
900,NaN,-0.0412449588904689
1500,11.6934389744027,0.15351271627767
2000,8.38070814089796,0.364343387610428
2500,6.56045124433674,0.628966368333434
3000,7.45760442250721,0.805849533187566
3500,NaN,0.671506803379929
4000,5.15960861862972,NaN
4500,4.78093932435291,0.62064462271604
5000,NaN,0.482748311729203
6000,2.46577451376818,0.323735890543474
7000,3.32160416621115,NaN
7500,NaN,0.369113280503093
8500,1.73377363276578,0.199532544089673
