timepoint,Glu_Obs,Ind_Obs
0,9.29356262989212,-0.0532852191190974
150,12.5495322827194,NaN
350,8.97631082308317,NaN
450,NaN,-0.00719350251180062
550,7.64168689139082,NaN
750,8.32804124428434,NaN
900,NaN,-0.00065291150459491
950,8.49806250728863,NaN
1000,5.17506922399689,NaN
1500,3.73700808020494,0.061184092568415
2000,1.33695168233774,0.400073504445594
2500,1.82862119344356,0.499412198190913
3000,-0.308917456809942,0.467350158791491
4000,NaN,0.397040736404448
5000,NaN,0.23322382495504
6000,NaN,0.192621577539063
7000,NaN,0.220270458046645
8500,NaN,0.10791036854176
