timepoint,Glu_Obs,Ind_Obs
0,9.94359966717996,0.000507342840975577
40,0.143756856850945,NaN
85,-0.149803185794069,NaN
150,-0.255130006994746,NaN
200,-0.0698283906629008,NaN
250,-0.130850816172876,NaN
350,0.273740603167898,NaN
400,-0.541268885667316,NaN
450,NaN,0.00555179475800753
900,NaN,0.0067302437871745
1500,NaN,0.00522633242015072
2000,NaN,0.00406714844438975
2500,NaN,0.0045604199758502
3500,NaN,0.00356879577487799
4000,NaN,0.00265418915094046
5000,NaN,0.00246162632770484
6000,NaN,0.00224271387987796
7500,NaN,0.00208637531552312
