timepoint,Glu_Obs,Ind_Obs
0,9.85944566651075,-0.000966071392682194
35,0.00911210813478907,NaN
70,0.210950341668485,NaN
100,0.24023441605165,NaN
150,0.00273529972925355,NaN
200,0.118542486512424,NaN
250,0.0619635971277215,NaN
350,-0.164773594260043,0.00799089725178917
400,-0.159987331179445,NaN
750,NaN,0.00630512420574933
1000,NaN,0.00626122332651568
1500,NaN,0.00522562085955735
2000,NaN,0.00588844332553549
2500,NaN,0.00470390721547942
3000,NaN,0.00253030688960237
3500,NaN,0.00366417068433939
4500,NaN,0.00288642267778398
5000,NaN,0.0015924687762193
6000,NaN,0.00217782003110137
7000,NaN,0.00341563451589367
