timepoint,Glu_Obs,Ind_Obs
0,11.129605904137,-0.0542921582356914
400,9.67468976983833,NaN
450,NaN,-0.00483510701595253
850,9.23576738789795,NaN
900,NaN,-0.0188226888200985
1500,10.8959814190163,0.119894775648604
2000,8.11668608597089,0.254090138488741
2500,NaN,0.598547618232565
3000,5.59186526563922,0.804944901329695
3500,5.68154943023265,0.894922764239662
4000,4.25343609668841,NaN
4500,NaN,0.744088225611755
5000,1.74563204947343,NaN
5500,NaN,0.506975450370064
6000,2.45557801604007,NaN
6500,NaN,0.459316125665237
7000,1.27171836733668,NaN
8000,NaN,0.140028065785102
8500,1.10192950785859,NaN
