timepoint,Glu_Obs,Ind_Obs
0,9.9361694759901,5.00256896362553e-06
40,-0.210185695266906,NaN
85,-0.161067076745726,NaN
150,-0.126616042380301,NaN
200,0.0821710345057367,NaN
250,0.252200098804795,NaN
350,-0.392207561983285,0.00593031525118917
400,0.0317044633629784,NaN
750,NaN,0.00648753051105594
1000,NaN,0.00652541881303448
1500,NaN,0.00551113771432107
2000,NaN,0.00463757927419841
2500,NaN,0.00412480723817397
3000,NaN,0.00370175185261248
3500,NaN,0.00237304199853474
4500,NaN,0.00321739516901053
5500,NaN,0.00145126512689218
6500,NaN,0.0011082365335203
