timepoint,Glu_Obs,Ind_Obs
0,9.3926462444934,0.00098218585064764
300,NaN,0.0651522515129108
400,10.0937220648516,NaN
600,NaN,-0.0686840529780303
850,8.2369273248135,NaN
950,NaN,0.0366551845846963
1500,9.4840842876265,0.377718970756471
2000,7.25134158837095,0.907429318677309
2500,4.44211091064535,1.19011231996846
3000,3.51306332663923,NaN
3500,4.25395404215461,0.733192645378233
4000,NaN,0.73913477695583
4500,1.155206407733,NaN
5000,NaN,0.348780303304076
5500,2.35322272735136,NaN
6000,NaN,0.312382985354858
7000,0.43490012370356,NaN
8500,0.60462414919637,NaN
