timepoint,Glu_Obs,Ind_Obs
0,9.09455859588858,0.0338681984277556
150,9.48502325949433,NaN
300,11.2773158160831,NaN
400,NaN,-0.0183745735015417
450,11.4071731496854,NaN
600,6.67516983593487,NaN
800,6.33429893837206,NaN
850,NaN,0.0192611429130371
950,6.21784771249198,NaN
1000,7.35959848862985,NaN
1500,2.67203449713899,0.295091379502745
2000,-0.93588453048312,0.544985972976108
2500,-2.18325600041273,0.511654205901007
3000,-0.598740317807981,0.481377322190194
4000,NaN,0.379360304477244
4500,NaN,0.278501149850156
5500,NaN,0.187044534747309
7000,NaN,0.175982953311214
8500,NaN,0.127281284201967
