timepoint,Glu_Obs,Ind_Obs
0,9.5369735408879,0.0331781620320306
150,9.73119992571395,NaN
300,8.43022619034777,NaN
400,NaN,0.0179681176409039
450,8.15606867924889,NaN
650,7.29849581665229,NaN
850,4.97236603448988,0.0518417278696326
1000,3.85216611878125,NaN
1500,0.488162247409682,0.488842117926032
2000,-1.39975887223938,0.522369557150045
2500,0.966499283860591,NaN
3000,0.393640635818724,0.419157290748755
3500,NaN,0.33586879426104
4000,NaN,0.22436297117711
5000,NaN,0.204299925377251
6000,NaN,0.193944581113949
7000,NaN,0.0875582681483445
8500,NaN,0.137422831047836
