timepoint,Glu_Obs,Ind_Obs
0,10.3073456124059,0.00171344972512632
400,NaN,0.00363324318262962
450,10.1858139679826,NaN
800,NaN,-0.00998009019819929
950,9.91550581251435,NaN
1000,NaN,-0.0177294712969522
1500,8.40589248226765,0.0197334883468687
2000,6.09919649615277,0.0613162439175196
2500,4.28424014654458,NaN
3000,NaN,0.23253634443404
3500,0.93016491928305,0.20347023313453
4500,-0.719871444167168,0.114776266119432
5500,-1.2541605413138,0.0583231789386351
6500,NaN,0.024386148973541
7000,1.07469855623383,NaN
8500,-1.21945512375903,NaN
