timepoint,Glu_Obs,Ind_Obs
0,9.90686657186773,0.000112782746954426
35,0.0847097351787378,NaN
75,-0.0177425939402227,NaN
100,0.259450904929349,NaN
150,-0.153869355382699,NaN
200,-0.262140883090833,NaN
250,0.068354332740812,NaN
350,0.144717754433338,0.0074229464218432
400,-0.0237149412807505,NaN
750,NaN,0.00637680535767504
1000,NaN,0.00662866551721734
1500,NaN,0.00586200194080786
2000,NaN,0.00539208399019373
2500,NaN,0.004038104494985
3000,NaN,0.00318124067018718
3500,NaN,0.00404143026056909
4500,NaN,0.00289913809500222
5000,NaN,0.00279964437523399
6000,NaN,0.00243853533387236
7500,NaN,0.000828238843160846
