t,input_il6,pJAK1_gp130_Obs
110,0,0.000221633475627952
110,0,0.000142714276254951
110,0.5,0.00217360168575831
110,0.5,-0.00122598724705057
110,1,0.00177696307882086
110,1,-0.000647104633988366
110,2.5,0.00779108541897898
110,2.5,0.00754320650343588
110,5,0.0156963825473062
110,5,0.0150270856050429
110,10,0.00224366235177094
110,10,0.00329596864446723
110,25,0.00781210983210553
110,25,0.00887628830630298
110,50,0.00467367664430995
110,50,0.00324319080526764
110,100,0.00994469783672976
110,100,0.0104026028006556
110,500,0.0222046764640775
110,500,0.0202973205289514
