t,input_il6,pJAK1_gp130_Obs
2200,0.1,0.000187022331364893
2200,0.1,0.000662987602622146
2200,0.5,0.000543681356832802
2200,0.5,0.000783162152023676
2200,1,0.000187737173494662
2200,1,0.0011796959657034
2200,2.5,0.00207169301023436
2200,2.5,0.00284348114202617
2200,5,0.000563927933148086
2200,5,0.0019934798676245
2200,10,0.00181832143867339
2200,10,0.00203476249734735
2200,25,0.00424156098904198
2200,25,0.00553575456890931
2200,50,0.00601765058257461
2200,50,0.00655607798886477
2200,100,0.00578460214383242
2200,100,0.00677371480336864
2200,500,0.011442830644782
2200,500,0.0124570924338955
