t,input_il6,tpSTAT3_Obs
13,0.1,-0.27513677550921
13,0.1,0.12398008075011
13,0.1,0.525967582468106
13,0.1,0.678682622300929
13,1,0.211811818762111
13,1,0.351412041944913
13,1,0.392872159647488
13,1,0.905673060395155
13,5,1.28898256947527
13,5,1.97286390813509
13,5,2.05326358011066
13,5,2.07702531956021
13,10,1.91912905563856
13,10,1.98646324165023
13,10,2.54995233562717
13,10,2.91502966005057
13,50,4.33667581449176
13,50,4.55649187830591
13,50,4.61015633662198
13,50,5.04957289092776
13,100,3.5231631467446
13,100,4.34719442222182
13,100,4.56853655821427
13,100,4.82015421432375
13,500,2.39257651511017
13,500,2.59525031482029
13,500,2.83922053178875
13,500,2.98646678212361
