t,EpoR_Obs,Epo_EpoR_i_Obs,dEpo_e_Obs
0,911.62552655493,1.63752368534102,1.47631754545689
20,NaN,265.953329608139,NaN
25,545.916143420418,NaN,NaN
35,NaN,NaN,71.3623886132852
45,NaN,363.80322793272,NaN
50,497.780998600452,NaN,NaN
65,NaN,706.162926717236,460.350580414225
75,537.730099816972,NaN,NaN
90,NaN,341.111999942794,NaN
100,123.561076903204,240.195119812229,199.982314571675
150,1079.05953754978,491.02336325281,347.892842660959
200,1695.24802936275,456.569340538615,550.107738044131
250,1247.16381296886,517.527967945504,1380.90560003698
300,705.282128755973,109.154316872311,NaN
350,NaN,97.3158532545901,1334.02916732176
400,528.486036230574,NaN,1184.96958344304
450,1053.02775834749,84.5795675618836,NaN
500,1132.44769313198,NaN,1459.05858338114
600,NaN,NaN,921.424611498333
700,NaN,NaN,1867.53695053976
