t,IR_Obs,IRp_Obs,IRiP_Obs,IRi_Obs,IRS_Obs,XX_Obs,XXp_Obs
0,9.86305586035949,1.07141962615743e-08,8.56839723934782e-06,-0.101888426288988,9.11803432625431,9.40124039437312,8.34471104799929e-05
2,NaN,2.42460616302164e-06,NaN,NaN,NaN,NaN,NaN
2.5,NaN,NaN,NaN,NaN,4.99554372686554,NaN,NaN
3,-0.0106846879870333,NaN,NaN,NaN,NaN,NaN,NaN
4,NaN,NaN,NaN,3.00137167355295,NaN,NaN,NaN
4.5,NaN,1.90337206038986e-06,NaN,NaN,NaN,9.54511438291262,0.00346375446713293
5,NaN,NaN,0.000243102816493565,NaN,6.2652287858197,NaN,NaN
6,0.0868367335249553,NaN,NaN,NaN,NaN,NaN,NaN
6.5,NaN,1.70454077432029e-06,NaN,NaN,NaN,NaN,NaN
7.5,NaN,NaN,NaN,4.08104035661802,6.69757591046082,NaN,NaN
9,NaN,1.5165538630091e-06,NaN,NaN,NaN,9.92495204711809,0.00366248762091545
9.5,0.119053751693217,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,1.29098366513144e-06,0.00017698631040472,5.23340782825347,7.42851049913475,NaN,NaN
15,0.0333388646504762,1.00845623380346e-06,0.000140334172644581,6.48351365264941,8.01737550945777,10.3204803346506,0.00292241773831784
20,7.61521049356256e-06,7.73098718094881e-07,0.000129860133916481,7.07439524677121,7.51407371301326,9.8628598557116,0.00292008407330581
25,0.0162774854245516,5.99432040125069e-07,NaN,8.10441151055007,7.70933796329831,9.46069945818514,0.00257033096036053
30,NaN,5.67474587425812e-07,0.000121768171106976,NaN,7.86746663591297,9.59228876031916,0.00227460070930269
35,NaN,5.85975251718643e-07,0.000115049444406641,8.4362145835438,7.41480428163516,NaN,NaN
40,NaN,NaN,NaN,8.29954253162338,NaN,9.92469366183244,0.00232836193624268
45,NaN,5.47626855412877e-07,0.000112299641587551,NaN,7.83612732115895,NaN,NaN
50,NaN,NaN,NaN,8.40049637388069,NaN,9.80840637041959,0.0023561925410401
60,NaN,NaN,0.000109315781725587,8.24720173964072,NaN,10.745241676241,0.00209700826056771
70,NaN,NaN,0.000111554609744721,8.41140828563401,NaN,11.2969390786786,0.00204480978938879
