t,pAC_Obs,AC_Fsk_Obs,Sp8_Br_cAMPS_Obs
0,-0.0592292206974023,-0.0228078706443684,0.0403654731505909
15,-0.0443290419945899,-0.0471947600929084,0.0324590797222592
30,-0.0731540765595927,0.106508687377517,0.0151806601058668
45,NaN,-0.125429963582446,0.042564262444799
50,-0.000908827278878694,NaN,NaN
60,NaN,-0.0389295592071535,-0.122695888388072
70,0.0408619254889198,NaN,NaN
75,NaN,NaN,0.0344385303743699
80,NaN,-0.00924710565145294,NaN
90,-0.0883129064391295,NaN,NaN
95,NaN,NaN,-0.0302076226720603
100,0.0889041268947984,-0.0314653816606083,0.0189938935257404
150,-0.0178445210925158,-0.00502588451971071,-0.0360936404199037
200,-0.00966882858252098,-0.0780623927074946,-0.0487760024923436
250,0.081616677127751,0.0079172622387046,-0.00551526840199913
300,-0.0419627493487109,0.0820454303636054,-0.033931392333405
350,-0.0637789934548419,0.176495734283456,-0.0871811164195701
450,0.0155782509553883,0.000731677090115743,-0.0208052605491621
