t,AC_Fsk_Obs,Sp8_Br_cAMPS_Obs,RIIp_Sp8_Br_cAMPS_C_2_Obs
0,0.153205458967641,0.109894198527065,0.00545656082194567
3.5,NaN,4.05933363388656,NaN
5,NaN,NaN,0.209163073254006
7.5,NaN,5.80612423437955,NaN
10,NaN,7.440532835369,0.189731796726758
15,0.0212389567183666,8.54665362683534,0.202458584820838
20,NaN,9.44030816203949,0.203725472318797
30,NaN,10.2034803296583,0.225681779919831
35,-0.0314234735499401,10.3836754045604,NaN
40,NaN,NaN,0.222718740750373
50,NaN,NaN,0.213123170285022
55,-0.0203527053214008,NaN,NaN
75,-0.0255530950076508,NaN,NaN
95,0.0255168034720568,NaN,NaN
100,-0.0483339256589992,NaN,NaN
150,-0.0477490699770378,NaN,NaN
200,0.00298540551190222,NaN,NaN
250,-0.0519505979688373,NaN,NaN
300,0.00181001429284587,NaN,NaN
