t,Compound_1_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs
0,-0.000220523465146243,0.0321013600373822,76.8320306249225,13.5380556526478
6.5,0.0304778525361459,NaN,NaN,NaN
8.5,NaN,NaN,64.3522793701124,NaN
9,NaN,NaN,NaN,15.1862041800994
10,NaN,0.193514085104328,NaN,NaN
15,0.0131135899245398,NaN,337.69334867419,NaN
20,0.00945980913067995,NaN,NaN,268.695628932525
25,0.00971137117970312,0.411705509225577,667.123622799867,439.614025139523
35,0.00525986353303911,0.484311993481079,627.023023695947,611.148899350683
45,0.00488523942760173,0.436409615594653,540.434143577995,587.321212488681
55,0.00280306698184419,NaN,NaN,NaN
60,NaN,0.507132210105467,429.253362709074,505.696712907754
70,0.00265680763272585,NaN,NaN,432.676543185312
75,NaN,NaN,304.59318750804,NaN
80,NaN,0.806891009373468,NaN,NaN
85,0.00402268606225715,NaN,NaN,275.870234778149
90,NaN,NaN,287.234956301349,NaN
100,0.00131497163352256,0.606015675995925,181.556784463213,262.532717829349
150,NaN,0.568555661083088,87.9664362047894,151.471676482022
200,NaN,0.649356740207465,140.670168446338,147.355684784994
