t,SHP1Act_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,-0.0223826085301612,0.000579018087538791,132.712951130336,0.0283329793333482
15,NaN,0.0412474356182045,83.5126999487787,NaN
20,0.134771504180445,NaN,NaN,0.125674281453255
30,NaN,0.0299044584909478,75.7139172219145,NaN
45,0.203151106062928,NaN,NaN,0.203896022580688
50,NaN,0.016770573883031,83.9860797474163,NaN
65,NaN,0.0183402209020852,86.8155155380446,0.236978027942829
70,0.23246122993677,NaN,NaN,NaN
85,NaN,0.0146452934095739,NaN,NaN
90,NaN,NaN,81.7895015647061,0.25965486417832
95,0.273255800955442,NaN,NaN,NaN
100,NaN,0.0163292861034342,93.6258541850762,0.273888665386679
150,0.26645507822058,0.0154836488532825,109.185972546547,0.298883176379048
200,0.315021570101051,0.0152348744756255,99.8179706266996,0.312043888204474
250,0.309466067186705,0.00997339158120176,105.755802644923,0.336400777907559
300,0.371598993242643,NaN,122.533935159137,0.314113140442685
350,0.347307513390971,NaN,NaN,0.338736775939202
400,NaN,NaN,NaN,0.342829014018733
450,0.357565698091331,NaN,NaN,NaN
