t,epo_level,Compound_1_Obs,Compound_5_Obs
20,2.5e-09,0.00455915230193254,-53.6087363142639
20,2.5e-09,0.00981415987874909,5.24435033569372
20,2.5e-09,0.0107634257117041,58.9683091961828
20,2.5e-08,0.0137384242676014,188.503004578508
20,2.5e-08,0.0193333498124369,223.900094514807
20,2.5e-08,0.0236921701209327,116.295254956573
20,1.25e-07,0.0322833652574755,471.255073363909
20,1.25e-07,0.0336396574817367,517.408438214176
20,1.25e-07,0.0340385979541453,569.962252171952
20,2.5e-07,0.0387323224585434,632.43788550909
20,2.5e-07,0.0408584880350021,559.688215272641
20,2.5e-07,0.0440233506331858,473.129225541496
20,1.25e-06,0.0585073029995004,705.703956858589
20,1.25e-06,0.069698576338038,721.219407304524
20,1.25e-06,0.072707059048228,771.88815866477
20,2.5e-06,0.0700515986634944,708.8488253917
20,2.5e-06,0.0743696897501885,690.005731874468
20,2.5e-06,0.08152803367251,612.713710335943
