t,Compound_1_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs
0,0.00107679238127671,-0.014002507488257,121.745699903022,-31.2267424557344
4.5,NaN,NaN,11.530979741113,NaN
7.5,0.0625758803876291,NaN,NaN,NaN
8.5,NaN,NaN,NaN,12.3771750752029
9.5,NaN,NaN,251.337339036638,NaN
10,NaN,0.106345334445216,NaN,NaN
15,0.0395026238983791,NaN,762.136746729411,NaN
20,NaN,NaN,910.375490882355,420.72513053266
25,0.0277567631626695,0.188854482312898,959.006987284595,594.899249519819
30,0.0236299399892406,NaN,NaN,NaN
35,NaN,0.199692810817191,1058.96296673988,971.220149489122
40,0.0208807018420289,NaN,1170.97300422021,NaN
45,NaN,NaN,NaN,949.331635817001
50,0.00966029011747432,0.213467832029357,752.741513364211,NaN
60,NaN,NaN,853.898979570674,884.917035086145
65,0.0117893214010587,0.216676216866212,NaN,NaN
70,NaN,NaN,633.449261459445,688.376573372306
80,0.00713934850911153,0.233818183710245,NaN,NaN
85,NaN,NaN,458.785778242368,398.168716055719
95,0.00921857879352293,NaN,NaN,NaN
100,0.010197445844282,0.281881679869092,279.086429283464,385.061826064232
150,0.0046267780185777,0.268776412341508,NaN,274.649768099839
200,NaN,0.272784072925796,NaN,82.2430411138922
