t,epo_level,Compound_8_Obs
17,2.5e-09,-0.0369337577024553
17,7.905e-09,-0.020820888802302
17,1.25e-08,0.0210681933054399
17,1.25e-08,0.0551590800675298
17,1.25e-08,0.0692148743480914
17,1.75e-08,0.0495288537363786
17,1.75e-08,0.053261662430198
17,1.75e-08,0.17330153694907
17,2.5e-08,0.109759692501191
17,2.5e-08,0.167492151200742
17,2.5e-08,0.17040349903706
17,3.95e-08,0.189945303630678
17,7.9e-08,0.333212911484825
17,7.9e-08,0.375823599045473
17,7.9e-08,0.430691890767712
17,1.25e-07,0.555607577840968
17,1.25e-07,0.569934923595136
17,1.25e-07,0.600027260354475
17,1.7675e-07,0.600156311853294
17,1.7675e-07,0.678049410601775
17,1.7675e-07,0.771077156822966
17,2.5e-07,0.662699076789778
17,2.5e-07,0.697874093784981
17,2.5e-07,0.804367424106499
17,7.905e-07,0.88269219784692
17,2.5e-06,1.01734258569921
17,2.5e-06,1.0502163896406
17,2.5e-06,1.10835671645847
