t,Compound_1_Obs,Compound_4_Obs,Compound_5_Obs,Compound_7_Obs
0,1.00652311540996,-86.846528975569,-81.4337413536648,-11.4471676445731
7,NaN,NaN,3.42996830223773,NaN
8.5,NaN,73.6188855437898,NaN,NaN
10,0.391342288371983,NaN,NaN,22.7958318141233
15,NaN,NaN,58.4630678991719,NaN
20,NaN,299.061383615507,173.430585520742,-6.33108234962055
25,0.0664586453099372,449.808913344686,NaN,NaN
30,NaN,NaN,365.16816411479,35.7608167888421
35,0.0513265277667855,NaN,NaN,NaN
40,NaN,610.694798394508,491.640774067129,NaN
45,NaN,NaN,NaN,208.929128731465
50,0.00791552069578553,513.63912136571,614.564082867265,NaN
55,NaN,NaN,NaN,353.581536555716
60,NaN,NaN,507.533771967258,NaN
65,-0.0065672314225396,491.27818007218,NaN,NaN
70,NaN,NaN,528.419121584044,494.682965611966
80,0.0350721973025024,463.141891547014,NaN,NaN
85,NaN,NaN,440.453202559596,NaN
90,NaN,NaN,NaN,498.797428712
95,NaN,366.898982213543,NaN,NaN
100,0.0133088176435276,314.081558661218,402.213687208051,470.776673021345
150,0.0164396621613148,351.484789712751,290.411601027305,294.12982550669
200,0.0380085884946611,276.694778904557,NaN,270.014134129663
250,NaN,NaN,NaN,284.581161835772
