t,Compound_1_Obs,Compound_5_Obs
0,0.00405090727074828,19.3983344807996
7,0.133851665404784,NaN
9.5,NaN,47.2593414347184
15,0.083341191100026,NaN
20,0.060257851786631,766.966889988405
30,0.0465786861490222,994.954393599438
40,0.0288614688414965,1204.10394803855
50,0.0255641576301027,NaN
55,NaN,1327.95971389756
65,0.0131821435764578,899.719702948837
80,0.0152538975490177,NaN
85,NaN,745.862475517334
95,0.0194629633381532,NaN
100,0.020553540193909,696.707221373577
150,NaN,639.585271976145
200,NaN,356.483620564247
