t,STAT5A_Obs,pApA_Obs,pBpB_Obs,nucpApA_Obs,nucpBpB_Obs
0,219.327930507492,7.31950113842205e-09,7.65894883995611e-10,1.98733716036631,0.0597080358024812
15,NaN,4.06240424743303e-06,3.1912695868958e-06,127.611523459459,NaN
20,11.880354919521,NaN,NaN,NaN,60.8829667620928
30,NaN,1.08201479147385e-05,2.43605030412289e-06,261.279327711881,NaN
40,22.8199176923277,NaN,NaN,NaN,50.1399115201079
50,NaN,5.83022121328997e-06,6.57701216340938e-07,98.887770570156,NaN
60,14.587560974377,NaN,NaN,NaN,38.2481370242075
65,NaN,NaN,NaN,87.1429559585423,NaN
70,NaN,3.24295815347555e-06,5.38245290661906e-07,NaN,NaN
80,14.5371621110971,NaN,NaN,NaN,38.0669180720076
85,NaN,NaN,NaN,333.182268077185,NaN
90,NaN,2.37895429966846e-06,NaN,NaN,NaN
95,NaN,NaN,4.71077344798309e-07,NaN,NaN
100,34.8003102808325,6.53086036292432e-06,2.57318875675813e-07,46.8895995697931,111.58962577906
150,58.4397166888015,1.34557000104233e-06,3.60903877819458e-07,284.058407242535,8.41063494710768
200,45.0103783170302,NaN,NaN,130.916272785122,14.8530150460722
250,19.1103377151842,NaN,NaN,76.0987452536711,25.7785829764342
300,131.198965158068,NaN,NaN,71.3212156832856,23.9817957849843
350,50.6876232085812,NaN,NaN,21.5466770333423,NaN
400,54.6557331051162,NaN,NaN,NaN,6.61330800076497
450,147.818469488469,NaN,NaN,NaN,NaN
