t,ohb10_Obs,Compound_2_Obs
0,-0.0995386153927074,-0.00421353254288727
20,0.534945037358779,0.240627666657045
40,0.816043181122478,NaN
45,NaN,0.285913579386726
60,1.2435049207385,NaN
70,NaN,0.97441211796413
85,1.44794504631575,NaN
95,NaN,1.46456288765953
100,1.55054848823671,1.85521056926863
150,2.00220591329166,2.04044088389061
200,1.60056662923401,2.90755268132817
250,1.69064051592694,2.9475675970127
300,1.62838919118546,3.66377876511797
350,1.72333580042064,3.31712135632797
450,1.01015827267277,4.3055910588712
